name	mcg	gvh	alm	mit	erl	pox	vac	nuc	class
ATPO_YEAST	0.51	0.54	0.6	0.57	0.5	0	0.58	0.22	MIT
ATP7_YEAST	0.54	0.52	0.63	0.37	0.5	0	0.46	0.22	MIT
ATP8_YEAST	0.67	0.62	0.4	0.43	0.5	0.83	0.5	0.22	MIT
ATR1_YEAST	0.28	0.58	0.21	0.13	0.5	0	0.51	0.22	ME3
YBR8_YEAST	0.39	0.44	0.35	0.16	0.5	0	0.55	0.22	ME3
BAR1_YEAST	0.8	0.63	0.45	0.29	0.5	0	0.51	0.22	EXC
BAS1_YEAST	0.5	0.52	0.59	0.3	0.5	0	0.51	0.35	NUC
BCK1_YEAST	0.42	0.47	0.52	0.41	0.5	0	0.53	0.32	CYT
BCK2_YEAST	0.36	0.46	0.62	0.46	0.5	0	0.51	0.33	CYT
BCS1_YEAST	0.46	0.38	0.47	0.22	0.5	0	0.52	0.27	MIT
KAPR_YEAST	0.4	0.45	0.56	0.2	0.5	0	0.45	0.22	CYT
BDF1_YEAST	0.33	0.43	0.64	0.16	0.5	0	0.52	0.52	NUC
BEM1_YEAST	0.49	0.61	0.49	0.25	0.5	0	0.5	0.28	CYT
BET1_YEAST	0.38	0.5	0.37	0.26	0.5	0	0.43	0.22	ME3
BGL2_YEAST	0.69	0.7	0.52	0.36	0.5	0	0.46	0.22	EXC
CYBM_YEAST	0.61	0.72	0.39	0.33	0.5	0	0.58	0.22	MIT
YMC4_YEAST	0.78	0.75	0.4	0.28	0.5	0	0.53	0.22	MIT
BIK1_YEAST	0.64	0.57	0.57	0.27	0.5	0	0.37	0.22	CYT
BOS1_YEAST	0.36	0.58	0.35	0.24	0.5	0	0.44	0.22	ME3
